mapped_airline,live_flights,avg_velocity,avg_altitude,airline_name,departure_iata,route_flights
Lufthansa,88,176.5475,7468.094805194806,Lufthansa,DEL,1.0
Lufthansa,88,176.5475,7468.094805194806,Lufthansa,FRA,26.0
Lufthansa,88,176.5475,7468.094805194806,Lufthansa,LAX,1.0
Lufthansa,88,176.5475,7468.094805194806,Lufthansa,LHR,1.0
Lufthansa,88,176.5475,7468.094805194806,Lufthansa,SIN,4.0
Qantas,8,230.4875,10322.2425,Qantas,BKK,3.0
Qantas,8,230.4875,10322.2425,Qantas,DXB,3.0
Qantas,8,230.4875,10322.2425,Qantas,FRA,1.0
Qantas,8,230.4875,10322.2425,Qantas,LAX,2.0
Qantas,8,230.4875,10322.2425,Qantas,LHR,2.0
Qantas,8,230.4875,10322.2425,Qantas,ORD,1.0
Qantas,8,230.4875,10322.2425,Qantas,SIN,1.0
Qantas,8,230.4875,10322.2425,Qantas,SYD,10.0
Qatar Airways,14,216.83928571428572,10393.093846153846,Qatar Airways,AMS,1.0
Qatar Airways,14,216.83928571428572,10393.093846153846,Qatar Airways,BKK,2.0
Qatar Airways,14,216.83928571428572,10393.093846153846,Qatar Airways,HKG,1.0
Qatar Airways,14,216.83928571428572,10393.093846153846,Qatar Airways,LHR,10.0
Singapore Airlines,13,226.36615384615385,9748.519999999999,Singapore Airlines,AMS,1.0
Singapore Airlines,13,226.36615384615385,9748.519999999999,Singapore Airlines,BKK,1.0
Singapore Airlines,13,226.36615384615385,9748.519999999999,Singapore Airlines,DEL,1.0
Singapore Airlines,13,226.36615384615385,9748.519999999999,Singapore Airlines,FRA,1.0
Singapore Airlines,13,226.36615384615385,9748.519999999999,Singapore Airlines,LAX,2.0
Singapore Airlines,13,226.36615384615385,9748.519999999999,Singapore Airlines,LHR,4.0
Singapore Airlines,13,226.36615384615385,9748.519999999999,Singapore Airlines,SIN,13.0
SpiceJet,14,136.56785714285715,6237.605,SpiceJet,BOM,2.0
SpiceJet,14,136.56785714285715,6237.605,SpiceJet,DEL,2.0
Thai Airways,25,140.9596,6778.682727272727,,,
Turkish Airlines,95,191.16936842105264,8308.252413793103,Turkish Airlines,AMS,1.0
Turkish Airlines,95,191.16936842105264,8308.252413793103,Turkish Airlines,BKK,3.0
Turkish Airlines,95,191.16936842105264,8308.252413793103,Turkish Airlines,DEL,1.0
Turkish Airlines,95,191.16936842105264,8308.252413793103,Turkish Airlines,FRA,1.0
Turkish Airlines,95,191.16936842105264,8308.252413793103,Turkish Airlines,SIN,3.0
Turkish Airlines,95,191.16936842105264,8308.252413793103,Turkish Airlines,SYD,1.0
United Airlines,460,200.7785217391304,8885.278588235295,United Airlines,AMS,1.0
United Airlines,460,200.7785217391304,8885.278588235295,United Airlines,CDG,1.0
United Airlines,460,200.7785217391304,8885.278588235295,United Airlines,FRA,14.0
United Airlines,460,200.7785217391304,8885.278588235295,United Airlines,JFK,3.0
United Airlines,460,200.7785217391304,8885.278588235295,United Airlines,LAX,10.0
United Airlines,460,200.7785217391304,8885.278588235295,United Airlines,LHR,4.0
United Airlines,460,200.7785217391304,8885.278588235295,United Airlines,ORD,2.0
