ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,total_route_flights,distinct_departure_hubs,has_aviationstack_context,airborne_ratio,on_ground_ratio,predicted_anomaly,predicted_probability
2026-04-01T16:53:17.302897+00:00,Japan Airlines,10,182.86,8795.17,1,9,12.0,-2.0,0,23.0,8.0,1,0.9,0.1,0,0.12098701485100107
2026-04-01T16:53:17.302897+00:00,KLM,87,183.23,8298.08,8,79,80.0,7.0,1,52.0,6.0,1,0.9080459770114944,0.0919540229885057,0,0.48867627841255956
2026-04-01T16:53:17.302897+00:00,Lufthansa,113,181.52,7384.36,8,105,88.0,25.0,1,34.0,6.0,1,0.9292035398230089,0.0707964601769911,1,0.5161733990792625
2026-04-01T16:53:17.302897+00:00,Qantas,9,202.39,7977.29,0,9,8.0,1.0,0,23.0,8.0,1,1.0,0.0,0,0.12925889996043816
2026-04-01T16:53:17.302897+00:00,Qatar Airways,24,229.64,10199.69,0,24,14.0,10.0,1,14.0,4.0,1,1.0,0.0,0,0.0683822442063226
2026-04-01T16:53:17.302897+00:00,Singapore Airlines,24,215.12,7971.79,1,23,13.0,11.0,1,23.0,7.0,1,0.9583333333333334,0.0416666666666666,0,0.37924723989225484
2026-04-01T16:53:17.302897+00:00,SpiceJet,12,156.54,5821.68,1,11,14.0,-2.0,0,4.0,2.0,1,0.9166666666666666,0.0833333333333333,0,0.2225979114457268
2026-04-01T16:53:17.302897+00:00,Thai Airways,27,105.17,3986.73,2,25,25.0,2.0,0,0.0,0.0,0,0.925925925925926,0.074074074074074,0,0.017923688800978197
2026-04-01T16:53:17.302897+00:00,Turkish Airlines,102,199.36,9237.14,8,94,95.0,7.0,1,10.0,6.0,1,0.9215686274509804,0.0784313725490196,1,0.6468126154587143
2026-04-01T16:53:17.302897+00:00,United Airlines,440,206.03,9106.27,28,412,460.0,-20.0,1,35.0,7.0,1,0.9363636363636364,0.0636363636363636,1,0.7245266495653292
2026-04-01T16:58:23.796243+00:00,ANA,18,197.54,7839.19,1,17,19.0,-1.0,0,27.0,6.0,1,0.9444444444444444,0.0555555555555555,0,0.27240877983846845
2026-04-01T16:58:23.796243+00:00,Air France,91,187.69,8256.45,6,85,91.0,0.0,0,41.0,8.0,1,0.934065934065934,0.0659340659340659,0,0.39701952296548676
2026-04-01T16:58:23.796243+00:00,Air India,61,179.39,7653.47,5,56,67.0,-6.0,1,40.0,6.0,1,0.918032786885246,0.081967213114754,0,0.4540059561189587
2026-04-01T16:58:23.796243+00:00,American Airlines,517,193.53,8608.29,46,471,531.0,-14.0,1,35.0,7.0,1,0.9110251450676984,0.0889748549323017,1,0.7863903648046778
2026-04-01T16:58:23.796243+00:00,British Airways,86,192.46,8463.87,4,82,83.0,3.0,0,22.0,9.0,1,0.9534883720930232,0.0465116279069767,0,0.33112156272037807
2026-04-01T16:58:23.796243+00:00,Cathay Pacific,105,90.27,3093.48,8,97,97.0,8.0,1,20.0,5.0,1,0.923809523809524,0.0761904761904762,1,0.655129121353341
2026-04-01T16:58:23.796243+00:00,Delta Air Lines,498,194.84,8637.72,42,456,504.0,-6.0,1,63.0,6.0,1,0.9156626506024096,0.0843373493975903,1,0.8753885538197416
2026-04-01T16:58:23.796243+00:00,Emirates,57,244.33,10410.93,0,57,53.0,4.0,0,36.0,8.0,1,1.0,0.0,0,0.24962237346923302
2026-04-01T16:58:23.796243+00:00,Etihad Airways,15,232.71,10522.2,0,15,15.0,0.0,0,19.0,7.0,1,1.0,0.0,0,0.15554865825221068
2026-04-01T16:58:23.796243+00:00,IndiGo,92,174.84,7004.55,7,85,88.0,4.0,0,62.0,9.0,1,0.9239130434782608,0.0760869565217391,1,0.6203650278197488
