ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,total_route_flights,distinct_departure_hubs,has_aviationstack_context,airborne_ratio,on_ground_ratio
2026-04-01T16:58:23.796243+00:00,ANA,18,197.54,7839.19,1,17,19.0,-1.0,0,27.0,6.0,1,0.9444444444444444,0.05555555555555555
2026-04-01T16:58:23.796243+00:00,Air France,91,187.69,8256.45,6,85,91.0,0.0,0,41.0,8.0,1,0.9340659340659341,0.06593406593406594
2026-04-01T16:58:23.796243+00:00,Air India,61,179.39,7653.47,5,56,67.0,-6.0,1,40.0,6.0,1,0.9180327868852459,0.08196721311475409
2026-04-01T16:58:23.796243+00:00,American Airlines,517,193.53,8608.29,46,471,531.0,-14.0,1,35.0,7.0,1,0.9110251450676983,0.08897485493230174
2026-04-01T16:58:23.796243+00:00,British Airways,86,192.46,8463.87,4,82,83.0,3.0,0,22.0,9.0,1,0.9534883720930233,0.046511627906976744
2026-04-01T16:58:23.796243+00:00,Cathay Pacific,105,90.27,3093.48,8,97,97.0,8.0,1,20.0,5.0,1,0.9238095238095239,0.0761904761904762
2026-04-01T16:58:23.796243+00:00,Delta Air Lines,498,194.84,8637.72,42,456,504.0,-6.0,1,63.0,6.0,1,0.9156626506024096,0.08433734939759036
2026-04-01T16:58:23.796243+00:00,Emirates,57,244.33,10410.93,0,57,53.0,4.0,0,36.0,8.0,1,1.0,0.0
2026-04-01T16:58:23.796243+00:00,Etihad Airways,15,232.71,10522.2,0,15,15.0,0.0,0,19.0,7.0,1,1.0,0.0
2026-04-01T16:58:23.796243+00:00,IndiGo,92,174.84,7004.55,7,85,88.0,4.0,0,62.0,9.0,1,0.9239130434782609,0.07608695652173914
2026-04-01T16:58:23.796243+00:00,Japan Airlines,9,177.47,8517.26,1,8,10.0,-1.0,0,23.0,8.0,1,0.8888888888888888,0.1111111111111111
2026-04-01T16:58:23.796243+00:00,KLM,83,185.88,8001.2,5,78,87.0,-4.0,0,52.0,6.0,1,0.9397590361445783,0.060240963855421686
2026-04-01T16:58:23.796243+00:00,Lufthansa,119,176.45,7423.91,10,109,113.0,6.0,1,34.0,6.0,1,0.9159663865546218,0.08403361344537816
2026-04-01T16:58:23.796243+00:00,Qantas,9,184.54,10579.83,2,7,9.0,0.0,0,23.0,8.0,1,0.7777777777777778,0.2222222222222222
2026-04-01T16:58:23.796243+00:00,Qatar Airways,22,222.45,10159.19,0,22,24.0,-2.0,0,14.0,4.0,1,1.0,0.0
2026-04-01T16:58:23.796243+00:00,Singapore Airlines,21,232.99,9725.41,1,20,24.0,-3.0,0,23.0,7.0,1,0.9523809523809523,0.047619047619047616
2026-04-01T16:58:23.796243+00:00,SpiceJet,11,174.1,6498.47,0,11,12.0,-1.0,0,4.0,2.0,1,1.0,0.0
2026-04-01T16:58:23.796243+00:00,Thai Airways,23,96.26,4076.01,3,20,27.0,-4.0,0,0.0,0.0,0,0.8695652173913043,0.13043478260869565
2026-04-01T16:58:23.796243+00:00,Turkish Airlines,107,194.8,8894.75,7,100,102.0,5.0,1,10.0,6.0,1,0.9345794392523364,0.06542056074766354
2026-04-01T16:58:23.796243+00:00,United Airlines,440,207.26,9177.86,27,413,440.0,0.0,0,35.0,7.0,1,0.9386363636363636,0.06136363636363636
2026-04-01T17:03:29.226479+00:00,ANA,20,204.91,8555.66,1,19,18.0,2.0,0,27.0,6.0,1,0.95,0.05
2026-04-01T17:03:29.226479+00:00,Air France,91,184.45,8060.79,7,84,91.0,0.0,0,41.0,8.0,1,0.9230769230769231,0.07692307692307693
2026-04-01T17:03:29.226479+00:00,Air India,56,191.47,8421.13,4,52,61.0,-5.0,1,40.0,6.0,1,0.9285714285714286,0.07142857142857142
2026-04-01T17:03:29.226479+00:00,American Airlines,528,188.73,8582.97,58,470,517.0,11.0,1,35.0,7.0,1,0.8901515151515151,0.10984848484848485
