icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,mapped_airline
ab8f0d,DAL1926,United States,1774544735.0,1774544735,-86.882,17.3055,10668.0,False,221.24,179.07,0.0,,11209.02,,False,0,Delta Air Lines
a43f51,DAL1538,United States,1774544985.0,1774544986,-74.7798,39.5539,7581.9,False,227.0,225.55,1.95,,7719.06,2741.0,False,0,Delta Air Lines
ac79c7,AAL2562,United States,1774544986.0,1774544986,-81.4881,25.2442,11049.0,False,240.05,209.53,8.78,,11460.48,,False,0,American Airlines
a6246e,UAL548,United States,1774544986.0,1774544986,-97.5205,39.972,10675.62,False,262.53,92.02,0.0,,11049.0,,False,0,United Airlines
a06f8a,AAL649,United States,1774544986.0,1774544986,-91.527,41.7136,2484.12,False,135.09,300.18,-14.63,,2506.98,1754.0,False,0,American Airlines
a146f9,UAL1458,United States,1774544976.0,1774544976,-112.1118,38.9859,10972.8,False,198.37,259.39,0.33,,11353.8,633.0,False,0,United Airlines
a399e4,DAL922,United States,1774544986.0,1774544986,-123.6683,48.3539,7924.8,False,185.75,324.24,0.0,,7795.26,371.0,False,0,Delta Air Lines
a013ee,DAL2185,United States,1774544986.0,1774544986,-110.6555,39.834,10050.78,False,256.55,52.0,-0.33,,10401.3,,False,0,Delta Air Lines
a3e9b2,DAL1695,United States,1774544986.0,1774544986,-84.5849,33.5652,2217.42,False,137.09,186.03,18.86,,2308.86,,False,0,Delta Air Lines
a399de,DAL1190,United States,1774544986.0,1774544986,-80.7273,26.7855,2537.46,False,145.05,110.56,-4.88,,2667.0,3344.0,False,0,Delta Air Lines
a3c3e0,UAL311,United States,1774544986.0,1774544986,-106.9869,34.3464,10972.8,False,217.42,273.12,0.0,,11475.72,2137.0,False,0,United Airlines
a3c3e6,UAL1506,United States,1774544810.0,1774544810,-113.1177,38.902,10972.8,False,202.29,258.26,0.0,,11361.42,,False,0,United Airlines
7bc007,LHA4384,China,1774544617.0,1774544984,23.1105,58.7272,11277.6,False,268.56,86.38,0.0,,10949.94,4223.0,False,0,Lufthansa
a8fc06,UAL1631,United States,1774544981.0,1774544981,-111.6162,35.4605,10347.96,False,213.54,268.76,-2.28,,10835.64,2712.0,False,0,United Airlines
a120fe,DAL273,United States,1774544937.0,1774544937,-66.2323,42.6947,11582.4,False,200.72,263.97,0.0,,11437.62,,False,0,Delta Air Lines
a17c95,AAL1158,United States,1774544985.0,1774544985,-103.8936,42.459,9745.98,False,203.66,297.86,0.0,,10020.3,,False,0,American Airlines
ac5442,DAL876,United States,1774544981.0,1774544986,-78.295,34.258,2903.22,False,160.18,87.24,-6.18,,3009.9,5747.0,False,0,Delta Air Lines
ab477d,DAL728,United States,1774544986.0,1774544987,-86.5433,43.0177,9753.6,False,188.96,292.24,0.0,,9906.0,,False,0,Delta Air Lines
ac4107,UAL2340,United States,1774544986.0,1774544986,-122.1431,41.3085,10972.8,False,244.13,2.78,0.0,,11216.64,,False,0,United Airlines
06a2b8,QTR7452,Qatar,1774544986.0,1774544986,-4.9465,33.6617,10363.2,False,229.83,249.7,-0.33,,10576.56,2070.0,False,0,Qatar Airways
ad6116,AAL2367,United States,1774544986.0,1774544986,-84.757,27.7656,11277.6,False,234.56,118.42,0.0,,11727.18,3404.0,False,0,American Airlines
4ba8cf,TKJ9TW,Turkey,1774544986.0,1774544986,39.8021,40.9911,,True,6.94,126.56,,,,1055.0,False,0,Turkish Airlines
4ba8ce,TKJ4XU,Turkey,1774544987.0,1774544987,9.571,48.8351,10668.0,False,245.71,116.89,0.0,,10401.3,103.0,False,0,Turkish Airlines
a43b91,DAL935,United States,1774544986.0,1774544986,-88.9878,42.4201,10370.82,False,193.43,270.0,0.0,,10576.56,6256.0,False,0,Delta Air Lines
0b4174,TGWKF,Guatemala,1774544986.0,1774544986,-90.5258,14.5908,1760.22,False,36.45,8.93,5.53,,1790.7,1636.0,False,0,Thai Airways
86dd08,JAL41,Japan,1774544986.0,1774544986,142.8205,36.4148,10957.56,False,262.14,47.39,10.73,,10965.18,,False,0,Japan Airlines
a07dc8,UAL65,United States,1774544986.0,1774544987,-69.7451,42.5387,10355.58,False,199.47,266.45,-0.33,,10287.0,,False,0,United Airlines
a07dc9,UAL2692,United States,1774544986.0,1774544986,-106.4784,34.3556,11582.4,False,235.45,266.87,0.0,,12100.56,7104.0,False,0,United Airlines
0b416f,TGCBC,Guatemala,1774544868.0,1774544868,-90.526,14.5826,,True,0.0,14.06,,,,2742.0,False,0,Thai Airways
4ba8f3,TKJ42C,Turkey,1774544986.0,1774544986,23.2063,42.8774,11277.6,False,237.54,107.65,0.0,,11186.16,,False,0,Turkish Airlines
