ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,departure_iata,route_flights,has_aviationstack_context,airborne_ratio,on_ground_ratio
2026-03-27T17:59:21.582426+00:00,British Airways,70,194.8,8243.16,2,68,70.0,0.0,0,SYD,3.0,1,0.9714285714285714,0.02857142857142857
2026-03-27T17:59:21.582426+00:00,Cathay Pacific,115,101.26,3904.73,6,109,115.0,0.0,0,HKG,15.0,1,0.9478260869565217,0.05217391304347826
2026-03-27T17:59:21.582426+00:00,Cathay Pacific,115,101.26,3904.73,6,109,115.0,0.0,0,JFK,1.0,1,0.9478260869565217,0.05217391304347826
2026-03-27T17:59:21.582426+00:00,Cathay Pacific,115,101.26,3904.73,6,109,115.0,0.0,0,LAX,1.0,1,0.9478260869565217,0.05217391304347826
2026-03-27T17:59:21.582426+00:00,Cathay Pacific,115,101.26,3904.73,6,109,115.0,0.0,0,LHR,2.0,1,0.9478260869565217,0.05217391304347826
2026-03-27T17:59:21.582426+00:00,Cathay Pacific,115,101.26,3904.73,6,109,115.0,0.0,0,SYD,1.0,1,0.9478260869565217,0.05217391304347826
2026-03-27T17:59:21.582426+00:00,Delta Air Lines,496,195.96,8515.57,38,458,496.0,0.0,0,AMS,17.0,1,0.9233870967741935,0.07661290322580645
2026-03-27T17:59:21.582426+00:00,Delta Air Lines,496,195.96,8515.57,38,458,496.0,0.0,0,CDG,16.0,1,0.9233870967741935,0.07661290322580645
2026-03-27T17:59:21.582426+00:00,Delta Air Lines,496,195.96,8515.57,38,458,496.0,0.0,0,FRA,2.0,1,0.9233870967741935,0.07661290322580645
2026-03-27T17:59:21.582426+00:00,Delta Air Lines,496,195.96,8515.57,38,458,496.0,0.0,0,JFK,12.0,1,0.9233870967741935,0.07661290322580645
2026-03-27T17:59:21.582426+00:00,Delta Air Lines,496,195.96,8515.57,38,458,496.0,0.0,0,LAX,12.0,1,0.9233870967741935,0.07661290322580645
2026-03-27T17:59:21.582426+00:00,Delta Air Lines,496,195.96,8515.57,38,458,496.0,0.0,0,LHR,4.0,1,0.9233870967741935,0.07661290322580645
2026-03-27T17:59:21.582426+00:00,Emirates,32,252.18,10272.95,0,32,32.0,0.0,0,AMS,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Emirates,32,252.18,10272.95,0,32,32.0,0.0,0,BKK,3.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Emirates,32,252.18,10272.95,0,32,32.0,0.0,0,CDG,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Emirates,32,252.18,10272.95,0,32,32.0,0.0,0,DXB,14.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Emirates,32,252.18,10272.95,0,32,32.0,0.0,0,FRA,4.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Emirates,32,252.18,10272.95,0,32,32.0,0.0,0,ORD,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Emirates,32,252.18,10272.95,0,32,32.0,0.0,0,SIN,3.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Emirates,32,252.18,10272.95,0,32,32.0,0.0,0,SYD,9.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Etihad Airways,9,248.75,11010.05,0,9,9.0,0.0,0,AUH,9.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Etihad Airways,9,248.75,11010.05,0,9,9.0,0.0,0,BKK,4.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Etihad Airways,9,248.75,11010.05,0,9,9.0,0.0,0,CDG,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Etihad Airways,9,248.75,11010.05,0,9,9.0,0.0,0,FRA,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Etihad Airways,9,248.75,11010.05,0,9,9.0,0.0,0,JFK,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Etihad Airways,9,248.75,11010.05,0,9,9.0,0.0,0,LHR,2.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Etihad Airways,9,248.75,11010.05,0,9,9.0,0.0,0,SYD,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,IndiGo,70,159.72,7067.11,10,60,70.0,0.0,0,AMS,1.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,IndiGo,70,159.72,7067.11,10,60,70.0,0.0,0,AUH,1.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,IndiGo,70,159.72,7067.11,10,60,70.0,0.0,0,BKK,1.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,IndiGo,70,159.72,7067.11,10,60,70.0,0.0,0,BOM,11.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,IndiGo,70,159.72,7067.11,10,60,70.0,0.0,0,DEL,35.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,IndiGo,70,159.72,7067.11,10,60,70.0,0.0,0,DXB,1.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,IndiGo,70,159.72,7067.11,10,60,70.0,0.0,0,LHR,1.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,IndiGo,70,159.72,7067.11,10,60,70.0,0.0,0,SIN,5.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,IndiGo,70,159.72,7067.11,10,60,70.0,0.0,0,SYD,6.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,Japan Airlines,12,231.13,9714.23,0,12,12.0,0.0,0,BKK,3.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Japan Airlines,12,231.13,9714.23,0,12,12.0,0.0,0,DEL,6.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Japan Airlines,12,231.13,9714.23,0,12,12.0,0.0,0,HKG,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Japan Airlines,12,231.13,9714.23,0,12,12.0,0.0,0,JFK,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Japan Airlines,12,231.13,9714.23,0,12,12.0,0.0,0,LAX,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Japan Airlines,12,231.13,9714.23,0,12,12.0,0.0,0,LHR,4.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Japan Airlines,12,231.13,9714.23,0,12,12.0,0.0,0,ORD,6.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Japan Airlines,12,231.13,9714.23,0,12,12.0,0.0,0,SIN,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,KLM,80,192.54,8556.36,4,76,80.0,0.0,0,AMS,27.0,1,0.95,0.05
2026-03-27T17:59:21.582426+00:00,KLM,80,192.54,8556.36,4,76,80.0,0.0,0,BKK,2.0,1,0.95,0.05
2026-03-27T17:59:21.582426+00:00,KLM,80,192.54,8556.36,4,76,80.0,0.0,0,CDG,18.0,1,0.95,0.05
2026-03-27T17:59:21.582426+00:00,KLM,80,192.54,8556.36,4,76,80.0,0.0,0,LHR,1.0,1,0.95,0.05
2026-03-27T17:59:21.582426+00:00,KLM,80,192.54,8556.36,4,76,80.0,0.0,0,SIN,3.0,1,0.95,0.05
2026-03-27T17:59:21.582426+00:00,KLM,80,192.54,8556.36,4,76,80.0,0.0,0,SYD,1.0,1,0.95,0.05
2026-03-27T17:59:21.582426+00:00,Lufthansa,88,176.55,7468.09,11,77,88.0,0.0,0,BOM,1.0,1,0.875,0.125
2026-03-27T17:59:21.582426+00:00,Lufthansa,88,176.55,7468.09,11,77,88.0,0.0,0,DEL,1.0,1,0.875,0.125
2026-03-27T17:59:21.582426+00:00,Lufthansa,88,176.55,7468.09,11,77,88.0,0.0,0,FRA,26.0,1,0.875,0.125
2026-03-27T17:59:21.582426+00:00,Lufthansa,88,176.55,7468.09,11,77,88.0,0.0,0,LAX,1.0,1,0.875,0.125
2026-03-27T17:59:21.582426+00:00,Lufthansa,88,176.55,7468.09,11,77,88.0,0.0,0,LHR,1.0,1,0.875,0.125
2026-03-27T17:59:21.582426+00:00,Lufthansa,88,176.55,7468.09,11,77,88.0,0.0,0,SIN,4.0,1,0.875,0.125
2026-03-27T17:59:21.582426+00:00,Qantas,8,230.49,10322.24,0,8,8.0,0.0,0,BKK,3.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Qantas,8,230.49,10322.24,0,8,8.0,0.0,0,DXB,3.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Qantas,8,230.49,10322.24,0,8,8.0,0.0,0,FRA,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Qantas,8,230.49,10322.24,0,8,8.0,0.0,0,LAX,2.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Qantas,8,230.49,10322.24,0,8,8.0,0.0,0,LHR,2.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Qantas,8,230.49,10322.24,0,8,8.0,0.0,0,ORD,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Qantas,8,230.49,10322.24,0,8,8.0,0.0,0,SIN,1.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Qantas,8,230.49,10322.24,0,8,8.0,0.0,0,SYD,10.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Qatar Airways,14,216.84,10393.09,1,13,14.0,0.0,0,AMS,1.0,1,0.9285714285714286,0.07142857142857142
2026-03-27T17:59:21.582426+00:00,Qatar Airways,14,216.84,10393.09,1,13,14.0,0.0,0,BKK,2.0,1,0.9285714285714286,0.07142857142857142
2026-03-27T17:59:21.582426+00:00,Qatar Airways,14,216.84,10393.09,1,13,14.0,0.0,0,HKG,1.0,1,0.9285714285714286,0.07142857142857142
2026-03-27T17:59:21.582426+00:00,Qatar Airways,14,216.84,10393.09,1,13,14.0,0.0,0,LHR,10.0,1,0.9285714285714286,0.07142857142857142
2026-03-27T17:59:21.582426+00:00,Singapore Airlines,13,226.37,9748.52,1,12,13.0,0.0,0,AMS,1.0,1,0.9230769230769231,0.07692307692307693
2026-03-27T17:59:21.582426+00:00,Singapore Airlines,13,226.37,9748.52,1,12,13.0,0.0,0,BKK,1.0,1,0.9230769230769231,0.07692307692307693
2026-03-27T17:59:21.582426+00:00,Singapore Airlines,13,226.37,9748.52,1,12,13.0,0.0,0,DEL,1.0,1,0.9230769230769231,0.07692307692307693
2026-03-27T17:59:21.582426+00:00,Singapore Airlines,13,226.37,9748.52,1,12,13.0,0.0,0,FRA,1.0,1,0.9230769230769231,0.07692307692307693
2026-03-27T17:59:21.582426+00:00,Singapore Airlines,13,226.37,9748.52,1,12,13.0,0.0,0,LAX,2.0,1,0.9230769230769231,0.07692307692307693
2026-03-27T17:59:21.582426+00:00,Singapore Airlines,13,226.37,9748.52,1,12,13.0,0.0,0,LHR,4.0,1,0.9230769230769231,0.07692307692307693
